number,artist,title,gender,streams,lyrics_id
1,Olivia Rodrigo,Good 4 U,f,3,"Well good for you, I guess you moved on really easily
You found a new girl and it only took a couple weeks
Remember when you said that you wanted to give me the world

And good for you, I guess that you've been working on yourself
I guess that therapist I found for you, she really helped
Now you can be a better man for your brand new girl

Well good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doing great out there without me, baby
God, I wish that I could do that

I've lost my mind
I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well good for you, I guess you're getting everything you want
You bought a new car and your career's really taking off
It's like we never even happened, baby
What the fuck is up with that?

And good for you, it's like you never even met me
Remember when you swore to God I was the only
Person who ever got you
Well, screw that and screw you
You will never have to hurt the way you know that I do

Well good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doing great out there without me, baby
God, I wish that I could do that

I've lost my mind
I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Maybe I'm too emotional
But your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all
Maybe I'm too emotional
Your apathy's like a wound in salt
Maybe I'm too emotional
Or maybe you never cared at all

Well good for you
You look happy and healthy, not me
If you ever cared to ask
Good for you
You're doing great out there without me, baby
Like a damn sociopath

I've lost my mind
I've spent the night
Crying on the floor of my bathroom
But you're so unaffected, I really don't get it
But I guess good for you

Well good for you, I guess you moved on really easily

"
2,"J. Cole, 21 Savage & Morray",my.life,m,3,"Got a call from an old friend we used to be real close
Said he couldn't go on the American way
Closed the shop, sold a house, bought a ticket to the west coast
Now he gives them a stand-up routine in L.A.
I don't need you to worry for me 'cause I'm alright
I don't want you to tell me it's time to come home
I don't care what you say anymore this is my life
Go ahead with your own life leave me alone
I never said you had to offer me a second chance
(I never said you had to)
I never said I was a victim of circumstance
(I never said)
I still belong (still belong)
Don't get me wrong (don't get me wrong)
You can speak your mind but not on my time
They will tell you you can't sleep alone in a strange place
Then they'll tell you you can't sleep with somebody else
Oh, but sooner or later you sleep in your own space
Either way it's okay, you wake up with yourself
I don't need you to worry for me 'cause I'm alright
I don't want you to tell me it's time to come home
I don't care what you say anymore this is my life
Go ahead with your own life leave me alone
I never said you had to offer me a second chance
(I never said you had to)
I never said I was a victim of circumstance
(Gf circumstance)
I still belong (still belong)
Don't get me wrong (don't get me wrong)
You can speak your mind but not on my time
I don't care what you say anymore this is my life
Go ahead with your own life leave me alone"
3,Dua Lipa Featuring DaBaby,Levitating,f,3,"If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah-yeah-yeah-yeah
I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating
I believe that you're for me, I feel it in our energy
I see us written in the stars
We can go wherever, so let's do it now or never
Baby, nothing's ever, ever too far
Glitter in the sky, glitter in our eyes
Shining just the way we are
I feel like we're forever every time we get together
But whatever, let's get lost on Mars
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah-yeah-yeah-yeah
I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah-yeah-yeah-yeah
I'm levitating (woo)
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah-yeah-yeah-yeah (woo)
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
I got you (yeah), moonlight, you're my starlight
I need you all night (all night), come on, dance with me
I'm levitating (woo)
You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah-yeah-yeah-yeah (take you for a ride)
I'm levitating (woo)
You can fly away with me tonight (tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah-yeah-yeah-yeah (let me take you for a ride)
I got you, moonlight, you're my starlight (you are my starlight)
I need you all night, come on, dance with me (come on, dance with me)
I'm levitating
You, moonlight, you're my starlight (you're the moonlight)
I need you all night, come on, dance with me
I'm levitating"
4,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,m,3,"Say baby, say baby, say baby
What you doin'? (What you doin'?)
Where you at? (Where you at?)
Oh, you got plans? (You got plans?)
Don't say that (shut yo' trap)
I'm sippin' wine (sip, sip)
In a robe (drip, drip)
I look too good (look too good)
To be alone (woo-hoo)
My house clean (house clean)
My pool warm (pool warm)
Just shaved (smooth like a newborn)
We should be dancing, romancing, in the east wing
And the west wing of this mansion, what's happenin'?
I ain't playin' no games
Every word that I say
Is coming straight from the heart
So if you tryna lay in these arms
I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl
(I'ma leave the door open, hopin')
That you feel the way I feel
And you want me like I want you tonight, baby
Tell me that you're coming through
Ooh, you're so sweet (so sweet)
So tight (so tight)
I won't bite (uh-huh)
Unless you like (unless you like)
If you smoke (what you smoke?)
I got the haze (purple haze)
And if you're hungry, girl I got filets (woo-hoo)
Ooh, baby, don't keep me (waiting)
There's so much love we could be making (shamone)
I'm talking kissing
Cuddling
Rose petals in the bathtub, girl, lets jump in
It's bubblin'
I ain't playin' no games
Every word that I say
Is coming straight from the heart
So if you're tryna lay in these arms
I'ma leave the door open
(I'ma leave the door open)
I'ma leave the door open, girl, mmm
(I'ma leave the door open, hopin')
That you feel the way I feel
And you want me like I want you tonight, baby
Tell me that you're coming through
(C'mon girl)
La, la, la, la-la-la-la
I need you, baby
La, la, la, la-la-la-la
I got to see you, baby
La, la, la, la-la-la-la
Girl, I'm tryna give you this
Ah
Hey, hey
I'ma leave my door open, baby (I'ma leave the door open)
I'ma leave
I'ma leave my door open, girl
(I'ma leave the door open, hopin')
And I'm hopin'
Hopin' that you feel the way I feel
And you want me like I want you tonight, baby
Tell me that you're coming through, woo
Tell me (tell me that you're coming through)
Woo, woo-woo, woo, woo-woo, woo, woo-woo
Woo, woo-woo, woo, woo-woo, woo, woo-woo
la, la, la, la-la
(Tell me that you're coming through)
Girl, I'm here just waiting for you (ayy)
Come on over, I'll adore you (I gotta know)
(La, la, la, la-la-la-la)
I'm waiting, waiting, waiting for you (tell me that you're coming through)
Girl, I'm here just waiting for you
Come on over, I'll adore you
(La, la, la, la-la-la-la)"
5,J. Cole,amari,m,3,"Bada-ba, bada-ba, bada-ba, da-da
Off-Season
Let's work, hey
Plottin' my escape, this game ridin'-ridin' faith
Got a couple M's hidin' in the safe
Imagination turned a Honda into Wraith
I was doin' 80 on the interstate
Tryna make it back before my class started
Country n- never seen a passport
'Til I popped off and got a bag for it
Now I'm at the Gardens sittin' half court
Watchin' Jr. catch it off the backboard
'Ville n- never seen nothin'
'Cept a triple-triple bean jumpin'
Good-good leave a fiend crumpin'
Made it out, it gotta mean somethin'
Either you gon' hustle hard
A n- Uncle Sam got your a- re-enlisting
Two-six, murder scene pumpin'
Better leave it tucked, 'cause y'ain't dumpin'
Pow, pow, n-, he slumpy
12 comin', we ain't seen nothin'
Time change, n- ain't rumblin' no more
Nah, what for? Hungry for more
If you solo these vocals, listen close and you can hear grumblin'
Bow-tie and I'm still munchin'
Big bag, never fear fumblin'
Want smoke? N- don't choke
I'm a whole nico-nicotine company
Dreamville the only, not a Navy
How could you ever try to play me?
Kill 'em on a song walk up out the booth
Do the Westbrook rock-a-baby
I never fall out with the bro
Hate when your family turn into foe
We had a penthouse on the road
Interior decorated with the h-
Just like a multiple-choice getting chose
My n- like ""Eenie, meenie, minee, moe""
Scoop up a dime-piece like we homeless
Then we gon' send 'em back pigeon-toed
Out of the concrete was a rose and windows was cold
Had to go over and stand by the stove
We from the Southeast, n- know
This where the opps creep real slow
Won't vote but they mob deep with the poles
I punch the time sheet, not no more
And now my assigned seat is a throne
Plottin' my escape, this game ridin'-ridin' faith
Got a couple M's hidin' in the safe
Imagination turned a Honda into Wraith
I was doin' 80 on the interstate
Tryna make it back before my class started
Country n- never seen a passport
'Til I popped off and got a bag for it
Now I'm at the Gardens sittin' half court
Watchin' Jr. catch it off the backboard
'Ville n- never seen nothin'
'Cept a triple-triple bean jumpin'
Good-good leave a fiend crumpin'
Made it out, it gotta mean somethin'
Made it out, it gotta mean somethin'
Made it out, it gotta mean somethin'
Bada-ba, bada-ba, bada-ba, ah-ah"
6,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,m,3,"I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
And I see you (oh), the way I breathe you in (in)
It's the texture of your skin
I wanna wrap my arms around you, baby
Never let you go, oh
And I say, oh, there's nothing like your touch
It's the way you lift me up, yeah
And I'll be right here with you 'til the end
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
You ain't sure yet, but I'm for ya
All I could want, all I can wish for
Nights alone that we miss more
And days we save as souvenirs
There's no time, I wanna make more time
And give you my whole life
I left my girl, I'm in Mallorca
Hate to leave her, call it torture
Remember when I couldn't hold her
Left the baggage for Rimowa
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
I get the feeling, so I'm sure (sure)
Hand in my hand because I'm yours
I can't, I can't pretend, I can't ignore you're right for me
Don't think you wanna know just where I've been, oh
Done bein' distracted
The one I need is right in my arms (oh)
Your kisses taste the sweetest with mine
And I'll be right here with you 'til end of time
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
(I get my light right from the source, yeah, yeah)
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)
I got my peaches out in Georgia (oh, yeah, shit)
I get my weed from California (that's that shit)
I took my chick up to the North, yeah (badass bitch)
I get my light right from the source, yeah (yeah, that's it)"
7,J. Cole & Lil Baby,pride.is.the.devil,m,3,"Uh

Pride is the Devil
Think it got a hold on me
Pride is the Devil
It left so many R.I.P.
Pride is the Devil
Think it got a hold on me
Pride is the Devil, yeah, uh

Terrified, paranoid, I'll put you over everything to fill the void
And when you're gone, will I have anything or will I be destroyed? Uh
Terrified, paranoid, I'll put you over everything to fill the void
And when you're gone, will I have anything or will I be destroyed? Yeah

Bright lights pass me in the city, it's emergency
I'm thankful 'cause I made it past my thirties, no one murdered me
Still remember vividly the nigga that pulled a gun on me
I'm petrified, but moving like I got no sense of urgency
Pride make a nigga act way harder than he really be
Pride hide the shame when city cut off all utilities
Pride hide the pain of growing up inhaling poverty
Pride make a nigga feel a way that you unfollowed me
Make a nigga flash a thousand like he hit the lottery
Make a baby mama make shit harder than it gotta be
Make you have to take the bitch to court to see your prodigy
Make you have to use your last resort and pull a robbery
Pride be the reason for the family dichotomy
Got uncles and some aunties that's too proud to give apologies
Slowly realizing what the root of all my problems be
It got me feeling different when somebody say they proud of me

Pride is the Devil, uh
I think it got a hold on me
Pride is the Devil, uh
It left so many R.I.P.
Pride is the Devil
I think it got a hold on me
Pride is the Devil, uh, yeah

Terrified, paranoid, I'll put you over everything to fill the void
And when you're gone, will I have anything or will I be destroyed? Uh
Terrified, paranoid, I'll put you over everything to fill the void
And when you're gone, will I have anything or will I be destroyed? Yeah

Too much money to count, what's the amount?
Check never bounce
I gotta pay a nigga to add it up
Then pay somebody to make sure whatever amount he say he can back it up
Got racks on racks, I'm rackin' up, stackin' up
You're reachin', I'm actin' up

Break it down, weigh it up, now bag it up
Making five a month, that's regular
Nigga playing with us, that's a negative
Go back to start, that's never
I'm a boss, my closet leather
Ain't no off-days on my schedule
Long as I live, we live forever
Told my twin this shit get better
These niggas done slipped, let me ahead 'em
Got my feet up, I paid silly bands to have sex on the jet
I don't need 'em, that shit in the past, I'm feelin' like what's next
Got my speed up, foot all on the gas, this not a C8 'Vette
I can beat 'em, I believe in me, just tell me what's the bet
All my pride gone, had to lose it all then I got rich
I own five homes, glad some of this shit starting to make sense
I'm staying hella focused and I can't forget the bigger picture
I can't even hold you, I didn't have shit, I won't forget it
Will I be destroyed?
Come to me with everything, it's starting to get annoying
I'm addicted to promethazine, it's crazy, yeah, I know it
All this money coming in, it drive me crazy not to show it
I'll be crazy if I blow it

Pride is the Devil, uh
And I think it got a hold on me
Pride is the Devil, uh
And it left so many R.I.P.
Pride is the Devil
And I think it got a hold on me
Pride is the Devil, uh"
8,J. Cole,95.south,m,3,"
[Cam'ron (J. Cole):]
Killa, it's The Off-Season
Let's keep it tall, y'all ain't fuckin' with my man
And don't check your watch, you know the time
Cole World, Killa Cam', niggas is fuckin' finished (Yeah)

[J. Cole:]
This shit too easy for me now
Nigga, Cole been goin' plat' since back when CDs was around
What you sold, I tripled that, I can't believe these fuckin' clowns
Look how everybody clappin' when your thirty-song album do a measly hundred thou'
If I'm bettin' on myself, then I'll completely double down
If you hated on a nigga, please don't greet me with a pound
I be stayin' out the way, but if the beef do come around
Could put a M right on your head, you Luigi brother now
Trace my steps all in this game, you could see we cover ground
Back and forth from NC to New York when Jeezy had the crown
Vivid memories, niggas start to squeeze, we duckin' down
So many shells left on the ground, it make the Easter Bunny proud
I get up, dust my clothes off, sleep is the cousin of death
No plans to doze off, the streets, it don't come with a ref
I never sold soft, just creeped where the hustlers crept
And got they O's off, you reach, niggas uppin' like Steph
To blow your nose off, gesundheit, and then resume flight
As if it never happened, shit we witnessed full of so much sickness
Angels sheddin' tears in Heaven, word to Eric Clapton
Off this clever rapping, bitch, my pockets gon' forever fatten

They gon' forever fatten
[Cam'ron:]
See, we tried to tell niggas
They act like they don't even fuckin' speak English

[J. Cole:]
Bitch, my pen to the paper's lethal
I'm sendin' 'em straight to meet the
The nigga that made them peep the reaper
Creepin' on ya, the scent of failure reekin' on ya
Check your genitalia, pussy-niggas bleedin' on yourself
Fuckin' with Cole is bold, but it's impedin' on your health
All yo' niggas eatin' off your wealth
All my niggas feedin' all they selves, and it feels swell
Krispy Kreme dreams, sometime my dawgs wanna kill twelve (Uh)
'Cause they steady harassin'
We seen dilemmas like Nelly and Kelly that end in the deadliest fashion
My young niggas nutty, they blastin'
Bullets be hummin' like Cudi but one of yo' hoodies Spaghetti-O splashin'
All over the driveway, y'all talkin' all sideways
Shots poppin' off, y'all laid down
Cops chalkin' off y'all legs now
(Shit) God watchin', ""Hey, Yahweh""
My niggas looked up to the sky like we sendin' it y'all way (Y'all way)
We sendin' it y'all way (Y'all way)

[Cam'ron:]
That's what the fuck I'm talkin' 'bout
Y'all see what the fuck goin' on out here (Killa, Harlem)
I-95 shit, Carolina, 2-6, stand up, nigga

[Lil Jon:]
Put your hood up
Put your hood up
Put your hood up
Put your hood up
Put your clique up
Put your clique up
Put your clique up
Put your clique up
Represent your shit, motherfucker
Represent your shit, motherfucker
Represent your clique, motherfucker
Represent your clique, motherfucker
If you scared to throw it up, get the fuck out the club
If you scared to throw it up, get the fuck out the club"
9,The Weeknd & Ariana Grande,Save Your Tears,b,3,"Yeah
I saw you dancing in a crowded room
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye
I don't know why I run away
I'll make you cry when I run away
You could have asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care
I don't know why I run away
I'll make you cry when I run away
Take me back 'cause I wanna stay
Save your tears for another
Save your tears for another day
Save your tears for another day
So I made you think that I would always stay
I said some things that I should never say
Yeah, I broke your heart like someone did to mine
And now you won't love me for a second time
I don't know why I run away
Oh girl, I make you cry when I run away
Girl, take me back 'cause I wanna stay
Save your tears for another
I realize that I'm much too late
And you deserve someone better
Save your tears for another day (ooh, yeah)
Save your tears for another day (yeah)
I don't know why I run away
I'll make you cry when I run away
Save your tears for another day, ooh girl (ah)
I said save your tears for another day, yeah (ah)
Save your tears for another day (ah)
Save your tears for another day (ah)"
10,Doja Cat Featuring SZA,Kiss Me More,f,3,"We hug and yes, we make love
And always just say ""Goodnight"" (la-la-la-la-la)
And we cuddle, sure I do love it
But I need your lips on mine
Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh, oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh, oh
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la
All on my tongue, I want it (la-la-la-la)
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la-la
All on my tongue, I want it
I, I feel like fuckin' somethin'
But we could be corny, fuck it
Sugar, I ain't no dummy, dummy
I like to say, what if, but if
We could kiss and just cut the rubbish
Then I might be on to somethin'
I ain't givin' you one in public
I'm givin' you hundreds, fuck it
Somethin' we just gotta get into
Sign first, middle, last, on the wisdom tooth
Niggas wishin' that the pussy was a kissin' booth
Taste breakfast, lunch and gin and juice
And that dinner just like dessert too
And when we French, refresh, gimme two
When I bite that lip, come get me too
He want lipstick, lip gloss, hickeys too, uh
Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh, oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh, oh
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la
All on my tongue, I want it (la-la-la-la)
Boy, you write your name, I can do the same
Ooh, I love the taste, la-la-la-la-la
All on my tongue, I want it
Say give me a buck, need that gushy stuff
Push the limit, no, you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fuckin' with you feel like jail, nigga
I can't even exhale, nigga
Pussy like holy grail, you know that
You gon' make me need bail, you know that
Caught dippin' with your friend
You ain't even have man, lyin' on ya-, you know that
Got me a bag full of brick, you know that
Control, don't slow the pace if I throw back
All this ass for real
Drama make you feel
Fantasy and whip appeal
Is all I can give you
Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh, oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh, oh
Oh, darlin'
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it"
