number,artist,title,streams,lyrics_id
1,Olivia Rodrigo,Good 4 U,3,TODO
2,"J. Cole, 21 Savage & Morray",my.life,3,TODO
3,Dua Lipa Featuring DaBaby,Levitating,3,TODO
4,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,3,TODO
5,J. Cole,amari,3,TODO
6,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,3,TODO
7,J. Cole & Lil Baby,pride.is.the.devil,3,TODO
8,J. Cole,95.south,3,TODO
9,The Weeknd & Ariana Grande,Save Your Tears,3,TODO
10,Doja Cat Featuring SZA,Kiss Me More,3,TODO
11,Masked Wolf,Astronaut In The Ocean,3,TODO
12,"Nicki Minaj, Drake & Lil Wayne",Seeing Green,3,TODO
13,J. Cole,applying.pressure,3,TODO
14,J. Cole & Bas,100.mil',3,TODO
15,Polo G,Rapstar,3,TODO
16,The Kid LAROI,Without You,3,TODO
17,J. Cole,interlude,3,TODO
18,Lil Nas X,Montero (Call Me By Your Name),3,TODO
19,"J. Cole, Bas & 6LACK",let.go.my.hand,3,TODO
20,J. Cole,punchin'.the.clock,3,TODO
21,Olivia Rodrigo,Deja Vu,3,TODO
22,Luke Combs,Forever After All,3,TODO
23,The Weeknd,Blinding Lights,3,TODO
24,Olivia Rodrigo,Drivers License,3,TODO
25,J. Cole,the.climb.back,3,TODO
26,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,3,TODO
27,Cardi B,Up,3,TODO
28,J. Cole & Bas,hunger.on.hillside,3,TODO
29,Lil Tjay Featuring 6LACK,Calling My Phone,3,TODO
30,Saweetie Featuring Doja Cat,Best Friend,3,TODO
31,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box,3,TODO
32,Giveon,Heartbreak Anniversary,3,TODO
33,J. Cole,close,3,TODO
34,Machine Gun Kelly X blackbear,My Ex's Best Friend,3,TODO
35,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,3,TODO
36,Eric Church,Hell Of A View,3,TODO
37,24kGoldn Featuring iann dior,Mood,3,TODO
38,Migos,Straightenin,3,TODO
39,Moneybagg Yo,Wockesha,3,TODO
40,Pooh Shiesty Featuring Lil Durk,Back In Blood,3,TODO
41,Gabby Barrett,The Good Ones,3,TODO
42,Glass Animals,Heat Waves,3,TODO
43,Sam Hunt,Breaking Up Was Easy In The 90's,3,TODO
44,Mooski,Track Star,3,TODO
45,Pop Smoke,What You Know Bout Love,3,TODO
46,Dua Lipa,We're Good,3,TODO
47,Lil Baby,On Me,3,TODO
48,Kali Uchis,Telepatia,3,TODO
49,Drake Featuring Lil Baby,Wants And Needs,3,TODO
50,Trippie Redd & Playboi Carti,Miss The Rage,3,TODO
51,Ariana Grande,pov,3,TODO
52,Nicki Minaj,Fractions,3,TODO
53,Moneybagg Yo,Time Today,3,TODO
54,Billie Eilish,Your Power,3,TODO
55,Chris Young + Kane Brown,Famous Friends,3,TODO
56,Jake Owen,Made For You,3,TODO
57,Miranda Lambert,Settling Down,3,TODO
58,Bella Poarch,Build A Bitch,3,TODO
59,Dylan Scott,Nobody,3,TODO
60,Coi Leray Featuring Lil Durk,No More Parties,3,TODO
61,Jordan Davis,Almost Maybes,3,TODO
62,Dierks Bentley,Gone,3,TODO
63,Young Thug & Gunna,Ski,3,TODO
64,Nelly & Florida Georgia Line,Lil Bit,3,TODO
65,Travis Scott & HVME,Goosebumps,3,TODO
66,Drake,What's Next,3,TODO
67,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",His & Hers,3,TODO
68,Doja Cat,Streets,3,TODO
69,Keith Urban Duet With P!nk,One Too Many,3,TODO
70,Morray,Quicksand,3,TODO
71,Dan + Shay,Glad You Exist,3,TODO
72,Rod Wave,Tombstone,3,TODO
73,Jason Aldean,Blame It On You,3,TODO
74,Justin Bieber,Hold On,3,TODO
75,Imagine Dragons,Follow You,3,TODO
76,Young Thug & Gunna Featuring Drake,Solid,3,TODO
77,Cole Swindell,Single Saturday Night,3,TODO
78,YoungBoy Never Broke Again,White Teeth,3,TODO
79,Tiesto,The Business,3,TODO
80,Duncan Laurence,Arcade,3,TODO
81,Jazmine Sullivan,Pick Up Your Feelings,3,TODO
82,Nicki Minaj,Itty Bitty Piggy,3,TODO
83,Pop Smoke Featuring A Boogie Wit da Hoodie,Hello,3,TODO
84,Rod Wave,Street Runner,3,TODO
85,AJR,Way Less Sad,3,TODO
86,Future & Lil Uzi Vert,Drankin N Smokin,3,TODO
87,Ryan Hurd With Maren Morris,Chasing After You,3,TODO
88,Bad Bunny & Rosalia,La Noche de Anoche,3,TODO
89,H.E.R. Featuring Chris Brown,Come Through,3,TODO
90,Moneybagg Yo,Shottas (Lala),3,TODO
91,Lil Tecca,Never Left,3,TODO
92,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),3,TODO
93,42 Dugg & Roddy Ricch,4 Da Gang,3,TODO
94,Lainey Wilson,Things A Man Oughta Know,3,TODO
95,Coldplay,Higher Power,3,TODO
96,Blake Shelton,Minimum Wage,3,TODO
97,Morgan Wallen,Wasted On You,3,TODO
98,Brett Young,Lady,3,TODO
99,Thomas Rhett,Country Again,3,TODO
100,Nicki Minaj & Skillibeng,Crocodile Teeth,3,TODO
